"bloco_pesquisa","marca","linha_modelo","sku_referencia","sku_ref","categoria_subcategoria","configuracao_formato","diametro_espessura","diametro_espessura_unidade","agulhas_pontas","pontas","taper","apresentacao","indicacao_de_aplicacao","indicacao_publicada_ou_uso_tecnico_conservador","indicacao_publicada_ou_cautela","presenca_comercial_no_brasil_especificacao_confirmada","presenca_no_brasil_especificacao","fonte_direta","linha_modelo_publicado","diametro","indicacao_publicada_ou_uso_conservador","diametro_espessura_agulhas_pontas_taper","apresentacao_publicada","configuracao_formato_diametro_espessura","agulhas_pontas_taper","indicacao_publicada_ou_cautela_tecnica","aplicacao_publicada_ou_indicacao_conservadora","especificacao_presenca_no_brasil","qtd_agulhas_pontas","diametro_espessura_quantidade_de_agulhas_pontas_taper","indicacao_do_fabricante_cautela","presenca_comercial_no_brasil_vs_especificacao"
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","CDWA-3","CDWA-3","","Indicadores de limpeza / indicador químico","Indicador químico de limpeza para lavadoras automatizadas","","não aplicável","","","não aplicável","não publicado","","Monitoramento de limpeza em lavadoras automatizadas, conforme nome publicado","","","Presença comercial no Brasil confirmada; classe, composição e critérios de interpretação não publicados na página","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Papel grau cirúrgico — bobina","não publicado","","Embalagens / papel grau cirúrgico","Bobina","","largura, comprimento e gramatura não publicados","","","não aplicável","bobina","","Embalagem de produtos para esterilização; selagem e ciclo devem seguir IFU do fabricante","","","Presença comercial no Brasil confirmada; dimensões e barreira não publicadas","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Embalagem SMS","não publicado","","Embalagens / SMS","embalagem SMS","","dimensões e gramatura não publicadas","","","não aplicável","não publicado","","Barreira/embalagem para esterilização; uso usual, confirmar método e compatibilidade","","","Presença comercial no Brasil confirmada; composição e dimensões não publicadas","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Envelope de papel grau cirúrgico termosselante","não publicado","","Embalagens / envelope","Envelope termosselante","","dimensões não publicadas","","","não aplicável","envelope","","Acondicionamento de instrumental para esterilização; requer selagem adequada","","","Presença comercial no Brasil confirmada; tamanhos e indicador incorporado não publicados","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Envelope de papel grau cirúrgico autosselante","não publicado","","Embalagens / envelope","Envelope autosselante","","dimensões não publicadas","","","não aplicável","envelope","","Acondicionamento de instrumental para esterilização; seguir instruções de fechamento","","","Presença comercial no Brasil confirmada; tamanhos e indicador incorporado não publicados","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Fita adesiva vapor tipo 1 1042-S ADERE","1042-S","","Indicadores químicos / fita tipo 1","Fita adesiva indicadora para vapor","","largura, comprimento e unidade de venda não publicados","","","não aplicável","rolo/fita; quantidade não publicada","","Diferenciação visual de material exposto ao processo a vapor; não substitui indicador interno ou biológico","","","Presença comercial no Brasil confirmada; especificação do rolo não publicada","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Fita adesiva peróxido de hidrogênio","CT40","","Indicadores químicos / fita","Fita adesiva indicadora para VH2O2","","dimensões não publicadas","","","não aplicável","rolo/fita; quantidade não publicada","","Indicação de exposição a peróxido de hidrogênio vaporizado; não presumir validade para vapor","","","Presença comercial no Brasil confirmada; detalhes de mudança de cor não publicados","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Indicador químico tipo 4 para VH2O2","CD40 VH2O2","","Indicador químico / tipo 4","Indicador químico tipo 4","","dimensões e quantidade não publicadas","","","não aplicável","não publicado","","Monitoramento químico de processo VH2O2, conforme categoria publicada","","","Presença comercial no Brasil confirmada; parâmetros de aceitação não publicados na página","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Indicador químico VH2O2 tipo 1","CD42","","Indicador químico / tipo 1","Indicador químico para peróxido de hidrogênio","","dimensões e quantidade não publicadas","","","não aplicável","não publicado","","Indicação de exposição a VH2O2, conforme descrição publicada","","","Presença comercial no Brasil confirmada; não usar como integrador tipo 5 sem confirmação","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Indicador químico multiparamétrico formaldeído tipo 4","CD50","","Indicador químico / tipo 4","Multiparamétrico","","dimensões e quantidade não publicadas","","","não aplicável","não publicado","","Monitoramento químico de esterilização por formaldeído","","","Presença comercial no Brasil confirmada; faixa de processo e interpretação não publicadas","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Integrador químico óxido de etileno tipo 5","IT12","","Indicador químico / integrador tipo 5","Integrador químico","","dimensões e quantidade não publicadas","","","não aplicável","não publicado","","Monitoramento de processo de esterilização por óxido de etileno","","","Presença comercial no Brasil confirmada; critérios detalhados não publicados","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Integrador químico vapor tipo 5 INTEGRON","IT26-C","","Indicador químico / integrador tipo 5","Integrador de ponto único, mudança de limite","","dimensões e quantidade não publicadas","","","não aplicável","não publicado","","Monitorização de esterilização a vapor entre 121 °C e 134 °C, conforme fabricante","","","Presença comercial no Brasil confirmada; faixa/tempo devem ser confirmados na IFU vigente","Sispack — IT26-C","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Indicador biológico vapor 3 h","SP220","","Indicador biológico / vapor","Autocontido, terceira geração","","não aplicável","","","não aplicável","não publicado","","Controle biológico de esterilização a vapor saturado, resposta final em 3 horas","","","Presença comercial no Brasil confirmada; organismo, população e incubadora compatível não publicados na página resumida","Sispack — SP220","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Indicador biológico vapor 24 h","SP20","","Indicador biológico / vapor","Autocontido","","não aplicável","","","não aplicável","não publicado","","Controle biológico de esterilização a vapor; resposta final em até 24 horas","","","Presença comercial no Brasil confirmada; organismo e população não publicados na página resumida","Sispack — SP20","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Indicador biológico vapor","BT225","","Indicador biológico / vapor","não publicado","","não aplicável","","","não aplicável","não publicado","","Controle biológico de vapor; especificação operacional deve ser confirmada","","","Presença comercial no Brasil confirmada pelo catálogo; detalhes não publicados na listagem","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Indicador biológico vapor","BT98","","Indicador biológico / VH2O2","não publicado","","não aplicável","","","não aplicável","não publicado","","Controle biológico de VH2O2, conforme seção de monitoramento publicada","","","Presença comercial no Brasil confirmada; tempo de leitura não publicado na listagem","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Bowie & Dick pacote pronto com folha alerta","BD125X/1","","Indicador químico / Bowie-Dick","Pacote pronto","","dimensões não publicadas","","","não aplicável","pacote","","Teste Bowie-Dick para avaliação de remoção de ar/penetração de vapor em autoclaves compatíveis; confirmar IFU","","","Presença comercial no Brasil confirmada; classe e ciclo não publicados na listagem","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Bowie & Dick pacote pronto","BD125X/2","","Indicador químico / Bowie-Dick","Pacote pronto","","dimensões não publicadas","","","não aplicável","pacote","","Teste Bowie-Dick; uso usual, confirmar com fabricante","","","Presença comercial no Brasil confirmada; diferença para BD125X/1 não detalhada na página","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Bowie & Dick folha tamanho A4","BDA4","","Indicador químico / Bowie-Dick","Folha A4","","A4; gramatura não publicada","","","não aplicável","folha","","Teste Bowie-Dick; confirmar equipamento e ciclo","","","Presença comercial no Brasil confirmada; especificação de processo não publicada","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Bowie & Dick folha tamanho A5","BDA5","","Indicador químico / Bowie-Dick","Folha A5","","A5; gramatura não publicada","","","não aplicável","folha","","Teste Bowie-Dick; confirmar equipamento e ciclo","","","Presença comercial no Brasil confirmada; especificação de processo não publicada","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Pacote teste desafio vapor 1 h vácuo e gravidade","PCD222 / KPCD222-C","","Pacote desafio / vapor","Pacote de uso único; PCD com IB e IQ tipo 5","","não aplicável","","","não aplicável","pacote","","Desafiar processos de esterilização a vapor em autoclaves assistidas por bomba; a ficha do KPCD222-C informa IB 1 h, IQ tipo 5 e indicador externo tipo 1","","","Presença comercial no Brasil confirmada; confirmar código exato e versão antes do cadastro","Sispack — PCD222, ficha KPCD222-C","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Pacote desafio com IB 20 min e IQ tipo 5","KPCD224-C","","Pacote desafio / vapor","Pacote com indicador biológico e integrador químico","","não aplicável","","","não aplicável","pacote","","Monitoramento/desafio do processo a vapor; resposta publicada de 20 minutos","","","Presença comercial no Brasil confirmada; compatibilidade do ciclo deve ser verificada na IFU","Sispack — Produtos","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","Sispack","Pacote teste desafio","PDC225","","Pacote desafio / processo não detalhado na listagem","Pacote com indicador biológico","","não aplicável","","","não aplicável","pacote","","Pacote teste desafio; página oficial informa produto com resposta final negativa de 7 segundos, mas o método deve ser confirmado na ficha vigente","","","Presença comercial no Brasil confirmada; especificação completa não publicada na listagem","Sispack — PDC225","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Indicador químico para vapor Attest","1250","","Indicador químico / tipo 4","Tira/indicador químico","","dimensões e quantidade não publicadas na página de categoria","","","não aplicável","não publicado","","Monitoramento químico de vapor, tipo 4","","","Página oficial brasileira confirma produto e identificação; apresentação/dimensões devem ser obtidas na ficha vigente","3M Brasil — 1250","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Integrador químico para vapor Attest","1243A","","Indicador químico / tipo 5","Integrador químico","","dimensões não publicadas","","","não aplicável","não publicado","","Integração de parâmetros do processo a vapor; confirmar IFU","","","Produto listado oficialmente no Brasil; especificação detalhada não publicada na categoria","3M Brasil — catálogo","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Integrador químico para vapor Attest","1243B","","Indicador químico / tipo 5","Integrador químico","","dimensões não publicadas","","","não aplicável","caixa com 100 unidades quando nessa apresentação","","Integração de parâmetros do processo a vapor","","","Identificação brasileira HB004747505 para a versão geral e H0001931551 para caixa com 100; confirmar SKU de compra","3M Brasil — 1243B, 3M Brasil — caixa 100","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Fita indicadora química para vapor Comply","1322","","Indicador químico / fita tipo 1","Fita adesiva","","19 mm x 50 m não publicado para 1322; não confundir com M332","","","não aplicável","rolo; quantidade não publicada","","Indicação de exposição a vapor; não substitui monitoramento interno/biológico","","","Produto publicado oficialmente no Brasil; confirmar largura/comprimento da apresentação","3M Brasil — catálogo","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Fita branca adesiva para vapor","M332","","Indicador/insumo de embalagem","Fita branca adesiva","","19 mm x 50 m","","","não aplicável","rolo de 50 m","","Fechamento/identificação de embalagens para vapor; confirmar se possui indicador de processo na apresentação adquirida","","","Presença e especificação confirmadas na página brasileira","3M Brasil — M332","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Indicador químico para VH2O2 Attest","1228","","Indicador químico / tipo 1","Indicador químico","","dimensões e quantidade não publicadas","","","não aplicável","não publicado","","Indicação de exposição a peróxido de hidrogênio vaporizado","","","Produto publicado oficialmente no Brasil; classe publicada como tipo 1","3M Brasil — 1228","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Indicador químico para VH2O2 Comply","1248","","Indicador químico / VH2O2","Indicador químico","","dimensões e quantidade não publicadas","","","não aplicável","não publicado","","Monitoramento químico para VH2O2; confirmar finalidade exata na IFU","","","Produto publicado oficialmente no Brasil; detalhes de apresentação não publicados na categoria","3M Brasil — catálogo","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Indicador químico para ETO Comply","1251","","Indicador químico / tipo 4","Indicador químico","","dimensões e quantidade não publicadas","","","não aplicável","não publicado","","Monitoramento químico de óxido de etileno","","","Produto publicado oficialmente no Brasil; classe tipo 4 confirmada","3M Brasil — catálogo","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Indicador biológico de leitura rápida para vapor Attest","1291","","Indicador biológico / vapor","Indicador biológico autocontido; leitura rápida","","não aplicável","","","não aplicável","não publicado","","Controle biológico de esterilização a vapor; período de incubação publicado na categoria como 1 h para leitura rápida","","","Produto publicado oficialmente no Brasil; organismo/população não publicados na listagem","3M Brasil — 1291","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Indicador biológico de leitura rápida para vapor Attest","1292","","Indicador biológico / vapor","Indicador biológico autocontido; leitura rápida","","não aplicável","","","não aplicável","não publicado","","Controle biológico de vapor; leitura rápida","","","Produto publicado oficialmente no Brasil; período de incubação e apresentação devem ser confirmados no SKU","3M Brasil — 1292","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Indicador biológico de leitura super-rápida para vapor Attest","1492V","","Indicador biológico / vapor","Indicador biológico autocontido; leitura super-rápida","","não aplicável","","","não aplicável","não publicado","","Controle biológico de vapor; leitura super-rápida","","","Produto publicado oficialmente no Brasil; compatibilidade com leitora deve ser cadastrada separadamente","3M Brasil — 1492V","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Indicador biológico de vapor Attest","1262","","Indicador biológico / vapor","Indicador biológico; leitura final negativa em 48 h","","não aplicável","","","não aplicável","não publicado","","Controle biológico de vapor; leitura final negativa em 48 h","","","Produto publicado oficialmente no Brasil; apresentação varia por SKU","3M Brasil — 1262","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Indicador biológico de vapor Attest","1262B","","Indicador biológico / vapor","Indicador biológico; caixa com 100 ampolas","","não aplicável","","","não aplicável","caixa com 100 ampolas","","Controle biológico de vapor; leitura final negativa em 48 h","","","Especificação e apresentação confirmadas na página brasileira","3M Brasil — 1262B","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Indicador biológico de vapor Attest","1262BT","","Indicador biológico / vapor","Indicador biológico; caixa com 10 unidades","","não aplicável","","","não aplicável","caixa com 10 unidades","","Controle biológico de vapor; leitura final negativa em 48 h","","","Especificação e apresentação confirmadas na página brasileira","3M Brasil — 1262BT","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Indicador biológico de VH2O2 Attest","1295","","Indicador biológico / VH2O2","Indicador biológico de leitura rápida","","não aplicável","","","não aplicável","30 por pacote; 4 pacotes por caixa","","Controle biológico de peróxido de hidrogênio vaporizado","","","Produto publicado oficialmente no Brasil; apresentação confirmada na página de categoria","3M Brasil — 1295","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Indicador biológico para ETO Attest","1264","","Indicador biológico / ETO","Indicador biológico; leitura em 48 h","","não aplicável","","","não aplicável","não publicado","","Controle biológico de óxido de etileno","","","Produto publicado oficialmente no Brasil; especificação de apresentação não publicada na categoria","3M Brasil — catálogo","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Indicador biológico para ETO Attest","1264S","","Indicador biológico / ETO","Indicador biológico; leitura em 48 h","","não aplicável","","","não aplicável","não publicado","","Controle biológico de óxido de etileno","","","Produto publicado oficialmente no Brasil; confirmar diferença de SKU e apresentação com representante","3M Brasil — catálogo","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Indicador biológico de leitura rápida para ETO Attest","1294","","Indicador biológico / ETO","Indicador biológico de leitura rápida","","não aplicável","","","não aplicável","não publicado","","Controle biológico de óxido de etileno","","","Produto publicado oficialmente no Brasil; período e apresentação devem ser confirmados na IFU","3M Brasil — 1294","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Pacote teste desafio de vapor Attest","41382BR","","Pacote desafio / vapor","Pacote pronto com IB 1292 e integrador químico 1243R","","não aplicável","","","não aplicável","caixa com 16 pacotes e 16 ampolas de controle, conforme página do produto","","Monitoramento de rotina e qualificação de esterilização a vapor; página informa ciclos de 121 °C ≥30 min por gravidade e 132 °C ≥4 min por remoção dinâmica de ar","","","Produto publicado oficialmente no Brasil; indicação para autoclaves maiores que 56 L descrita na página do produto","3M Brasil — 41382BR","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Pacote teste desafio de vapor Attest","41482V","","Pacote desafio / vapor","Pacote com IB 1292 e integrador tipo 5 1243R","","não aplicável","","","não aplicável","não publicado na página resumida","","Monitoramento de rotina/qualificação do processo a vapor; leitura super-rápida publicada","","","Produto publicado oficialmente no Brasil; apresentação completa deve ser confirmada","3M Brasil — 41482V","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Pacote teste desafio com IB e integrador Comply SteriGage","41482F","","Pacote desafio / vapor","Pacote com IB de leitura final negativa em 1 h e integrador tipo 5","","não aplicável","","","não aplicável","caixa com 24, conforme título da página","","Desafio/monitoramento de esterilização a vapor","","","Produto publicado oficialmente no Brasil; confirmar ciclo e compatibilidade na IFU","3M Brasil — 41482F","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Pacote teste Bowie-Dick Comply","1233","","Indicador químico / Bowie-Dick","Pacote pronto","","não aplicável","","","não aplicável","caixa com 30, conforme título da página","","Teste Bowie-Dick para autoclaves compatíveis; confirmar ciclo e equipamento","","","Produto publicado oficialmente no Brasil; apresentação confirmada no título","3M Brasil — 1233","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Pacote teste Bowie-Dick Comply","1233LF BR","","Indicador químico / Bowie-Dick","Pacote pronto","","não aplicável","","","não aplicável","não publicado na página resumida","","Teste Bowie-Dick; uso usual, confirmar com fabricante","","","Produto publicado oficialmente no Brasil; SKU BR confirmado, apresentação não publicada","3M Brasil — 1233LF BR","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Pacote teste Bowie-Dick Comply","0135LF BR","","Indicador químico / Bowie-Dick","Pacote pronto","","não aplicável","","","não aplicável","não publicado","","Teste Bowie-Dick; uso usual, confirmar com fabricante","","","Produto publicado oficialmente no Brasil; apresentação não publicada","3M Brasil — 0135LF BR","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Pacote teste Bowie-Dick Comply","1300","","Indicador químico / Bowie-Dick","Pacote pronto","","não aplicável","","","não aplicável","não publicado","","Teste Bowie-Dick; uso usual, confirmar com fabricante","","","Produto publicado oficialmente no Brasil; apresentação não publicada","3M Brasil — 1300","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Pacote teste Bowie-Dick Comply","1301","","Indicador químico / Bowie-Dick","Pacote pronto","","não aplicável","","","não aplicável","não publicado","","Teste Bowie-Dick; uso usual, confirmar com fabricante","","","Produto publicado oficialmente no Brasil; apresentação não publicada","3M Brasil — 1301","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Leitora automática Attest","490M","","Equipamento / leitora de IB","Leitora automática mini","","não aplicável","","","não aplicável","unidade","","Leitura automática de indicadores biológicos compatíveis; confirmar modelos suportados","","","Produto publicado oficialmente no Brasil; compatibilidade completa não publicada na categoria","3M Brasil — 490M","","","","","","","","","","","não aplicável","","",""
"Limpeza, desinfecção, esterilização, indicadores e embalagens","3M / Solventum","Sistema de autoleitora Attest vapor/VH2O2","490 DR","","Equipamento / leitora de IB","Sistema de autoleitura","","não aplicável","","","não aplicável","unidade","","Leitura automática para vapor e VH2O2","","","Produto publicado oficialmente no Brasil; compatibilidade detalhada deve ser confirmada","3M Brasil — catálogo","","","","","","","","","","","não aplicável","","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Hustle Butter","Deluxe Tattoo Balm — 1 fl oz","não publicado","","Butter/lubrificante de processo","balm em pote","","","","","","1 fl oz; unidade/tubo ou opções de 3 tubs, case 48 e meia case 24 publicadas na página","","","Uso durante a sessão como glide; aplicar pequena quantidade e reaplicar conforme necessário. Também publicado para healing e cuidado diário","Presença comercial brasileira não confirmada nesta pesquisa; especificação confirmada pelo fabricante","","Hustle Butter — 1 fl oz","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Hustle Butter","Deluxe Tattoo Balm — 5 fl oz","não publicado","","Butter/lubrificante de processo","balm em pote","","","","","","5 fl oz; 1 tub, 3 tubs, case 24","","","Uso durante a sessão como glide; fórmula sem petróleo, vegana, sem parabenos e ftalatos; não interfere no stencil, segundo fabricante","Presença comercial brasileira não confirmada nesta pesquisa; especificação confirmada pelo fabricante","","Hustle Butter — 5 fl oz","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Hustle Butter","Deluxe Tattoo Balm Packettes","não publicado","","Butter/lubrificante de processo","sachê/packette individual","","","","","","0,25 fl oz por sachê, conforme distribuidor reconhecido; caixas/quantidades totais não confirmadas na página do fabricante consultada","","","Uso usual em bancada e atendimento individual; confirmar com fabricante quanto à apresentação exata por caixa","Presença comercial brasileira não confirmada; tamanho individual confirmado por distribuidor reconhecido","","Eternal Tattoo Supply — Packettes","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Hustle Butter","Fragrance-Free Tattoo Balm","não publicado","","Butter/lubrificante de processo","balm sem fragrância","","","","","","tamanhos exatos não publicados na página de categoria consultada","","","Uso durante a sessão e cuidados posteriores conforme linha “In-Process” do fabricante; confirmar volume/SKU antes do cadastro","Presença comercial brasileira não confirmada; existência da variação confirmada pelo fabricante","","Hustle Butter — In-Process","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Hustle Butter","Foaming Tattoo Soap / Hustle Bubbles Foaming Soap — 7 fl oz","não publicado","","Limpeza durante procedimento / sabonete espumante","espuma pronta para uso","","","","","","7 fl oz; unidade","","","Limpador para tatuagem; o fabricante o descreve como cleanser eficaz e substituto de green soap. Uso durante a limpeza do procedimento; seguir rótulo","Presença comercial brasileira não confirmada; especificação de 7 fl oz confirmada pelo fabricante","","Hustle Butter — Foaming Tattoo Soap","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Electric Ink","Ink Slip","não publicado","","Vaselina/manteiga; lubrificante de processo","pote","","","","","","250 g; pote","","","Manter a pele macia e hidratada durante tatuagem, micropigmentação e estética; facilitar aplicação da agulha e conforto, conforme distribuidor brasileiro","Presença comercial no Brasil confirmada por distribuidor; especificação confirmada pelo distribuidor; registro Anvisa informado na ficha: 25351218749201971","","Equipa Art — Ink Slip 250 g","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Electric Ink","Ink Slip","não publicado","","Vaselina/manteiga; lubrificante de processo","pote","","","","","","800 g","","","Mesma indicação da linha Ink Slip; tamanho 800 g publicado pelo distribuidor. Uso durante tatuagem; confirmar rótulo/lote","Presença comercial no Brasil confirmada por distribuidor; volume confirmado pelo distribuidor","","Equipa Art — Ink Slip 800 g","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","SkinCare","Vaselina Skincare Gel Tattoo","não publicado","","Vaselina/gel; lubrificante de processo","gel em pote","","","","","","450 g; pote","","","Auxiliar durante tatuagem, proporcionando deslizamento suave das agulhas e reduzindo atrito; contém Mineral Oil, Tocopheryl Acetate e Petrolatum, segundo ficha do distribuidor","Presença comercial no Brasil confirmada por distribuidor; especificação confirmada pelo distribuidor","","Equipa Art — Skincare Gel 450 g","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","SkinCare","Vaselina Skincare Gel","não publicado","","Vaselina/gel; lubrificante de processo","gel em pote","","","","","","900 g","","","Auxiliar durante tatuagem; ficha informa vitamina E, sem cheiro e função coadjuvante; detalhes completos de composição não publicados na página consultada","Presença comercial no Brasil confirmada por distribuidor; volume confirmado pelo distribuidor","","Equipa Art — Skincare Gel 900 g","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","SkinCare","FluxuGel Tattoo","não publicado","","Vaselina/emoliente; butter/lubrificante","pote","","","","","","900 g","","","Auxiliar na fixação da tatuagem, conforto e recuperação da pele; ficha cita vitamina E, óleo de buriti e extratos vegetais amazônicos","Presença comercial no Brasil confirmada por distribuidor; especificação confirmada pelo distribuidor","","Equipa Art — FluxuGel 900 g","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","SkinCare","Ease Clean — Skin Care Tattoo","não publicado","","Limpeza durante procedimento / sabonete líquido","líquido pronto para uso em garrafa","","","","","","1 L; garrafa","","","Sabonete à base de arnica, calêndula e camomila; ficha indica uso em qualquer momento do processo de aplicação da tatuagem e aplicação de camada fina, aguardando alguns minutos","Presença comercial no Brasil confirmada por distribuidor; volume, composição declarada e pronto-uso confirmados pelo distribuidor","","Equipa Art — Ease Clean 1 L","","","","","","","","","","","","não aplicável","",""
